actorID,actorName,ranking
1,Annie Potts,10
2,Bill Farmer,20
3,Don Rickles,3
4,Erik von Detten,13
5,Greg Berg,17
6,Jack Angel,6
7,Jan Rabson,19
8,Jim Varney,4
9,Joan Cusack,24
10,Joe Ranft,16
11,John Morris,23
12,John Ratzenberger,12
13,Kendall Cunningham,21
14,Laurie Metcalf,8
15,Patrick Pinney,9
16,Penn Jillette,15
17,Philip Proctor,11
18,R. Lee Ermey,14
19,Sarah Freeman,22
20,Scott McAfee,18
21,Sherry Lynn,7
22,Tim Allen,2
23,Tom Hanks,1
24,Wallace Shawn,5
25,Peter Bryant,16
26,Adam Hann-Byrd,13
27,Bebe Neuwirth,5
28,Bonnie Hunt,2
29,Bradley Pierce,4
30,Darryl Henriques,14
31,David Alan Grier,11
32,David Hyde Pierce,18
33,Gillian Barber,7
34,James Handy,12
35,Jonathan Hyde,6
36,Kirsten Dunst,3
37,Laura Bell Bundy,17
38,Lloyd Berry,8
39,Malcolm Stewart,15
40,Patricia Clarkson,9
41,Robin Driscoll,10
42,Robin Williams,1
43,Ann-Margret,3
44,Buck Henry,8
45,Buffy Sedlachek,13
46,Burgess Meredith,4
47,Christopher McDonald,9
48,Daryl Hannah,5
49,Isabell Monk,12
50,Jack Lemmon,1
51,Joe Howard,10
52,John Carroll Lynch,15
53,Kevin Pollak,6
54,Ollie Osterberg,11
55,Ossie Davis,7
56,Sharon Howard-Field,14
57,Steve Cochran,16
58,Walter Matthau,2
59,Leon,12
60,Angela Bassett,2
61,Brandon Hammond,19
62,Dennis Haysbert,6
63,Donald Faison,11
64,Ezra Swerdlow,17
65,Giancarlo Esposito,10
66,Graham Galloway,18
67,Gregory Hines,5
68,Jeffrey D. Sams,20
69,Lamont Johnson,16
70,Lela Rochon,4
71,Loretta Devine,3
72,Michael Beach,7
73,Mykelti Williamson,15
74,Starletta DuPois,9
75,Wendell Pierce,13
76,Wesley Snipes,14
77,Whitney Houston,1
78,Wren T. Brown,8
79,Ann Walker,24
80,Annie Meyers-Shyer,12
81,April Ortiz,21
82,B.D. Wong,15
83,Caroline Lagerfelt,10
84,Diane Keaton,2
85,Eugene Levy,20
86,George Newbern,5
87,Hallie Meyers-Shyer,13
88,Harris Laskaway,23
89,Jane Adams (II),26
90,Jonathan Emerson,18
91,Kate McGregor-Stewart,11
92,K.C. Colwell,25
93,Kieran Culkin,6
94,Kimberly Williams,4
95,Linda de Scenna,17
96,Martin Short,3
97,Mychael Bates,7
98,Peter Michael Goetz,9
99,Seth Kaplan,19
100,Shannon Kennedy,22
101,Steve Martin,1
102,Susan Beaubian,8
103,Tony Simotes,14
104,Wendy Worthington,16
105,Al Pacino,1
106,Amy Brenneman,7
107,Ashley Judd,8
108,Begonia Plaza,35
109,Bill McIntosh,45
110,Brian Libby,29
111,Bud Cort,20
112,Dan Martin,30
113,Daniel O'Haco,33
114,Danny Trejo,12
115,Diane Venora,6
116,Farrah Forke,46
117,Hank Azaria,16
118,Hazelle Goodman,25
119,Henry Rollins,44
120,Jeremy Piven,34
121,Jerry Trimble,40
122,Jon Voight,4
123,Kai Soremekun,37
124,Kenny Endoso,42
125,Kevin Gage,17
126,Kim Staunton,38
127,Kimberly Flynn,24
128,Mario Roberts,47
129,Martin Ferrero,23
130,Natalie Portman,18
131,Niki Harris,26
132,Patricia Healy,27
133,Paul Herman,28
134,Ray Buktenica,22
135,Rick Avery,41
136,Rick Marzan,31
137,Robert De Niro,2
138,Steven Ford,43
139,Susan Traylor,39
140,Ted Levine,10
141,Terry Miller,32
142,Thomas Rosales Jr.,36
143,Tom Noonan,13
144,Tom Sizemore,5
145,Tone-Loc,19
146,Val Kilmer,3
147,Wes Studi,11
148,William Fichtner,15
149,Xander Berkeley,21
150,Colin Campbell,25
151,John Williams (II),5
152,Paul Harvey,17
153,Audrey Hepburn,2
154,Bill Neff,20
155,Charles Harvey,16
156,David Ahdar,26
157,Ellen Corby,12
158,Emmett Vogan,24
159,Emory Parnell,21
160,Francis X. Bushman,6
161,Harvey B. Dunn,14
162,Humphrey Bogart,1
163,Joan Vohs,8
164,Kay Riehl,22
165,Kay E. Kuter,19
166,Marcel Dalio,9
167,Marcel Hillaire,10
168,Marion Ross,23
169,Marjorie Bennett,13
170,Martha Hyer,7
171,Nancy Kulp,18
172,Nella Walker,11
173,Otto Forrest,27
174,Rand Harper,15
175,Walter Hampden,4
176,William Holden,3
177,William Newman,15
178,Marian Seldes,11
179,Amy Wright,5
180,Blake Heron,14
181,Brad Renfro,2
182,Charles Rocket,4
183,Courtland Mead,12
184,Eric Schweig,3
185,Heath Lamberts,9
186,Jonathan Taylor Thomas,1
187,Kellen Hathaway,8
188,Lanny Flaherty,7
189,Michael McShane,6
190,Peter Mackenzie,10
191,Rachael Leigh Cook,13
192,Alan Clement,44
193,Allan Pinsker,62
194,Anthony Marino,58
195,Audra Lindley,18
196,Bernard Canepari,12
197,Bill Clement,40
198,Bill Dalzell III,13
199,Brad Moniz,60
200,Brian Smrz,31
201,Brian Delate,38
202,Brian Hutchison,51
203,Butch Luick,56
204,Callum Keith-King,54
205,Daniel R. Pagath,61
206,David Flick,46
207,Dean E. Wells,28
208,Diane Robin,25
209,Dixie Neyland Tymitz,27
210,Dorian Harewood,6
211,Douglas Rees,63
212,Ed Evanko,41
213,Faith Minton,21
214,Fred M. Waugh,35
215,Fred Mancuso,57
216,Gilbert B. Combs,37
217,Glenda Morgan Brown,71
218,Glenn Alan Gardner,47
219,Harold Surratt,34
220,Jack Erdie,45
221,Jack Skelly,66
222,Jay Caufield,43
223,Jean Pierre Nutini,23
224,Jean-Claude Van Damme,1
225,Jeff Habberstad,33
226,Jeff Hochendoner,50
227,Jeff Howell,15
228,Jeff Jimerson,52
229,Jennifer D. Bowser,42
230,John Hall,72
231,John Hateley,14
232,John Sterling,32
233,Jophery C. Brown,29
234,Karen Baldwin,9
235,Kate McNeil,19
236,Ken Milchick,59
237,Larry John Meyers,20
238,Luc Robitaille,39
239,Manny Perry,24
240,Mark Hager,48
241,Mark Kachowski,53
242,Michael Gaston,36
243,Michael R. Aubele,8
244,Mike Lange,55
245,Milton E. Thompson Jr.,69
246,Pat Brisson,10
247,Paul Mochnik,22
248,Paul Steigerwald,68
249,Phil Spano,67
250,Powers Boothe,2
251,Ray Laine,17
252,Raymond J. Barry,3
253,Rema D. Webb,70
254,Rick LeFevour,30
255,Rohn Thomas,26
256,Rosine 'Ace' Hatem,49
257,Ross Malinger,5
258,Steve Aronson,7
259,Thomas Saccio,64
260,Tommy Lafitte,16
261,Vinnie Sciullo,65
262,Whittni Wright,4
263,William Cameron,11
264,Alan Cumming,8
265,Billy Mitchell,14
266,Constantine Gregory,9
267,Desmond Llewelyn,13
268,Famke Janssen,4
269,Gottfried John,10
270,Izabella Scorupco,3
271,Joe Don Baker,5
272,Judi Dench,6
273,Michael Kitchen,12
274,Minnie Driver,18
275,Peter Majer,17
276,Pierce Brosnan,1
277,Ravil Isyanov,20
278,Robbie Coltrane,7
279,Samantha Bond,15
280,Sean Bean,2
281,Serena Gordon,16
282,Tchéky Karyo,11
283,Trevor Byfield,19
284,Mark Thompson,32
285,Aaron Sorkin,35
286,Andrew Steel,38
287,Anna Deavere Smith,29
288,Anne Haney,16
289,Annette Bening,2
290,Arthur Senzy,27
291,Beans Morocco,36
292,Beau Billingslea,10
293,Bernie McInerney,23
294,Clement von Franckenstein,33
295,David Paymer,5
296,Efrat Lavie,17
297,Frank Cavestani,12
298,Gail Strickland,31
299,George Murdock,24
300,Googy Gress,15
301,John Mahon,19
302,John Mahoney,20
303,Jordan Lund,18
304,Joseph Latimore,41
305,Joshua Malina,8
306,Karen Maruyama,22
307,Kathryn Ish,42
308,Leslie Bega,9
309,Martin Sheen,3
310,Mathew Saks,26
311,Maud Winchester,34
312,Michael Douglas,1
313,Michael J. Fox,4
314,Richard Dreyfuss,6
315,Nina Siemaszko,28
316,Richard Stahl,30
317,Rick Garcia,14
318,Ron Canada,11
319,Samantha Mathis,7
320,Shawna Waldron,37
