rottenTomatoesID,movieTitle,rtAllCriticsRating,rtAllCriticsNumReviews,rtTopCriticsRating,rtTopCriticsNumReviews,rtAudienceRating,rtAudienceNumRatings
1,toy_story,9,73,8.5,17,3.7,102338
2,1068044-jumanji,5.6,28,5.8,5,3.2,44587
3,grumpy_old_men,5.9,36,7,6,3.2,10489
4,waiting_to_exhale,5.6,25,5.5,11,3.3,5666
5,father_of_the_bride_part_ii,5.3,19,5.4,5,3,13761
6,1068182-heat,7.7,58,7.2,17,3.9,42785
7,1018047-sabrina,7.4,31,7.2,5,3.8,12812
8,tom_and_huck,4.2,8,0,2,2.7,2649
9,1068470-sudden_death,5.2,32,5.6,9,2.6,3626
10,goldeneye,6.8,41,6.2,11,3.4,28260
11,american_president,7,49,7.2,18,3.2,8320
12,dracula_dead_and_loving_it,3,35,3.7,10,2.8,10078
13,balto,5.8,12,0,4,3.2,9195
14,nixon,6.7,56,6.1,18,3.5,3256
15,cutthroat_island,4.4,31,4.7,6,2.6,3350
16,1067987-casino,7.2,58,6.3,16,3.9,66463
17,1068832-sense_and_sensibility,7.9,49,8.1,14,3.8,32782
18,four_rooms,3.5,42,2.9,11,3.5,14266
19,ace_ventura_when_nature_calls,4.1,25,0,3,3.2,87306
20,money_train,4,24,4.5,5,2.7,5263
21,get_shorty,7.7,49,8.4,14,3.2,10155
22,1065837-copycat,6.6,32,7.4,5,3.1,5628
23,1198524-ninja_assassin,4.3,106,4.6,20,3.4,107023
24,powder,5.2,19,4.9,5,3.1,6650
25,leaving_las_vegas,7.7,45,8.1,11,3.6,12742
26,1069707-othello,6.3,38,6.1,11,3.3,2018
27,now_and_then,4.7,16,5.2,5,3.5,17168
28,1066528-persuasion,7.7,23,8.5,9,3.9,7968
29,city_of_lost_children,7,33,7.2,7,4,22420
30,shanghai_triad,6.8,21,0,4,3.6,1061
31,dangerous_minds,4.7,37,5,12,3.1,12136
32,prem-no-public-issue,0,0,0,0,0,0
33,,0,4,0,2,0,0
34,1065598-babe,8.2,54,8.2,11,3,22954
35,carrington,6.2,19,7.4,5,3.5,781
36,1068779-dead_man_walking,8.2,53,7.9,20,3.6,15450
37,across_the_sea_of_time,0,4,0,1,2.9,237
38,1067137-it_takes_two,3.9,24,4.6,8,2.9,16311
39,school_of_senses,0,0,0,0,0,0
40,1068781-cry_the_beloved_country,7.2,13,0,4,3.5,520
41,1068177-richard_iii,8.1,43,7.6,11,3.7,1552
42,dead_presidents,5.7,31,6.3,12,3.3,4475
43,1069339-restoration,6.3,31,6.4,10,3.3,1103
44,mortal_kombat,4.4,26,3.9,6,2.8,18291
45,live_free_or_die_hard,6.8,197,6.7,38,3.9,1145097
46,how_to_make_an_american_quilt,5.6,22,7.6,6,3.2,2626
47,1018639-seven_samurai,9.2,49,8.6,10,4.5,29509
48,1063452-pocahontas,6,49,6.6,14,3.2,37858
49,when_night_is_falling,5.7,16,0,4,3.9,1132
50,usual_suspects,7.5,47,6.9,14,4.2,109588
51,mighty_aphrodite,6.7,33,7.2,6,3.3,4866
52,lamerica,8,10,0,1,3.9,239
53,big_green,2.8,5,0,1,2.7,2596
54,georgia_rule,3.8,116,3.4,30,3,64056
55,kids-of-the-round-table,0,0,0,0,0,0
56,1066169-home_for_the_holidays,6,44,5.7,11,3.4,3045
57,il_postino,7.9,25,0,4,4.1,5794
58,confessional,0,1,0,0,0,0
59,indian_in_the_cupboard,6.2,19,0,2,2.7,5127
60,1101753-eye,0,0,0,0,0,0
61,mr_hollands_opus,6.7,26,7.5,6,3.5,9569
62,dont_be_a_menace,4.5,24,5.6,7,0,0
63,two_if_by_sea,3.9,27,0,4,2.6,1608
64,biodome,1.9,21,2,7,2.6,8972
65,lawnmower_man_2_jobes_war,2.8,9,0,3,2.1,952
66,two-bits,5,10,0,4,3.3,685
67,french_twist,6.1,10,0,4,3.4,597
68,nothing_funny,0,0,0,0,0,0
69,from_dusk_till_dawn,6,43,4.9,10,3.4,36073
70,1065868-fair_game,2.4,24,3.1,8,2.1,1761
71,kicking_and_screaming,5.1,137,5,31,3,14260
72,1083326-les_miserables,6.9,41,6.6,11,3.6,7310
73,bed_of_roses,5.3,14,5.2,5,3.2,3163
74,big_bully,2.8,7,0,2,2.4,1459
75,1069696-screamers,4.7,30,4.9,9,3,2070
76,nico_icon,7.1,13,8,5,4,87
77,crossing_guard,6.5,27,0,4,3.3,2170
78,juror,4.4,19,4.3,6,2.8,2266
79,white_balloon,6.8,20,6.6,8,4,547
80,things_to_do_in_denver_when_youre_dead,4.9,27,5.5,5,3.5,3197
81,antonias_line,6.5,25,7.8,10,4.2,1707
82,once-upon-a-timewhen-we-were-colored,7.3,14,7.9,5,3.7,414
83,last_summer_in_the_hamptons,5.6,15,0,2,3.3,89
84,angels_and_insects,6.5,20,8.1,5,3.3,635
85,white_squall,5.8,30,6.3,10,3.2,3184
86,dunston_checks_in,3.8,15,0,4,2.5,2935
87,black_sheep,6.4,87,6.3,21,3.2,19454
88,nick_of_time,4.6,28,3.8,5,3.1,10563
89,journey_of_august_king,6.2,7,0,2,3.1,286
90,mary_reilly,4.4,41,4.6,9,2.8,3733
91,vampire_in_brooklyn,3.6,28,3.1,9,2.4,6122
92,beautiful_girls,7,46,6.3,14,3.6,4674
93,1069241-broken_arrow,5.8,29,6.1,6,2.9,12489
94,midwinters_tale,7.3,19,0,3,4.1,309
95,hate,8,14,0,4,4.3,11987
96,going_shopping,5,29,5,15,2.8,691
97,heidi_fleiss_hollywood_madam,7.5,7,8.8,5,3,281
98,city_hall,6.1,22,7,6,3,2730
99,bottle_rocket,6.6,42,6.1,9,3.7,16217
100,mr_wrong,3.1,28,3.1,8,2.4,1544
101,unforgettable,4.4,26,0,4,3,358
102,happy_gilmore,5.5,50,5.1,11,3.7,114875
103,bridges_of_madison_county,7.2,40,7.9,9,3.6,11573
104,nobody_loves_me,6,6,0,1,4.2,161
105,muppet_treasure_island,6.1,22,7.4,5,3.2,8588
106,1065684-braveheart,7,48,6.7,16,3.8,204275
107,taxi_driver,8.7,50,7.7,9,4.1,58145
108,rumble_in_the_bronx,6.4,52,6.5,16,3.1,7517
109,1070061-before_and_after,4.8,19,5.7,5,3,1276
110,margarets_museum,6.9,6,0,1,3.7,500
111,happiness_is_in_the_field,0,0,0,0,0,0
112,anne_frank_remembered,7.8,27,7.6,16,3.7,1076
113,young_poisoners_handbook,7.1,13,0,3,3.7,541
114,if_lucy_fell,4,26,4.3,9,3.1,1202
115,steal_big_steal_little,4.5,13,0,3,2.9,555
116,race_the_sun,4.8,9,0,3,2.9,822
117,the-boys-of-st-vincent,8.2,6,0,1,3.5,401
118,1039796-boomerang,4.8,27,5.4,8,2.8,4751
119,chungking_express,7.7,27,6.8,7,4.2,11068
120,star_maker,6.5,12,7,5,3.7,543
121,flirting_with_disaster,7.4,42,8.5,6,3.3,2127
122,neverending_story_3_the_escape_from_fantasia,0,3,0,0,0,0
123,jupiters_wife,0,4,0,1,0,0
124,pie_in_the_sky,0,2,0,0,0,0
125,angelas_ashes,5.7,84,5.3,26,3.6,4588
126,frankie_starlight,5.8,6,0,1,3.8,133
127,curse_of_the_jade_scorpion,5.2,122,5,36,3.1,4108
128,sonic_outlaws,0,3,0,0,0,0
129,down_periscope,3.8,31,4,8,2.8,3851
130,from_the_journals_of_jean_seberg,7.6,9,0,3,4,30
131,man_of_the_year,4.4,141,5,35,3,29127
132,hard_target,5.2,29,5.6,7,0,0
133,up_close_and_personal,5.1,31,6.5,6,3.2,2932
134,birdcage,6.7,29,7.5,5,3.3,13502
135,,0,0,0,0,0,0
136,brothers_mcmullen,7.1,34,7.8,6,3.2,1225
137,1062483-bad_boys,4.8,41,3.7,9,3.5,67658
138,amazing_panda_adventure,4.3,9,0,3,3,1335
139,basketball_diaries,4.9,35,4.7,11,3.5,12119
140,awfully_big_adventure,5.4,11,0,3,3.2,1433
141,the-amateurs,3.9,24,0,4,3,8865
142,apollo_13,8,51,7.9,11,3.6,30565
143,1061000-rob_roy,6.3,42,5.8,10,3.3,5253
144,basic_instinct_2,3.1,149,3.2,35,2.5,28208
145,batman_forever,5.2,54,5.9,14,2.9,47498
146,belle_de_jour,8.6,36,7.9,9,4,1378
147,beyond_rangoon,5.1,30,5,10,3.5,3962
148,blue_in_the_face,5.5,20,0,3,3.5,1323
149,canadian_bacon,3.3,14,0,2,2.9,3460
150,casper,4.7,34,4.5,10,3,20672
151,clockers,6.5,46,6.7,12,3.5,2502
152,congo,3.6,42,3.2,12,2.6,7008
153,crimson_tide,7.4,44,8,10,3.5,11550
154,crumb,8.3,39,0,4,4,2689
155,desperado,6.3,38,5.4,10,3.5,23821
156,devil_in_a_blue_dress,7.3,50,7,14,3.3,2742
157,die_hard_with_a_vengeance,5.7,42,5.8,10,3.6,61394
158,doom_generation,4.9,29,5.3,12,3.3,2680
159,feast_of_july,6.2,9,0,4,2.9,226
160,first_knight,5.2,42,5.5,14,3,13290
161,free_willy_2_the_adventure_home,4.6,12,0,3,2.8,8336
162,hackers,4.7,19,0,3,3.2,16863
163,jeffrey,6.1,23,5.7,9,3.4,836
164,johnny_mnemonic,3.3,28,4.7,5,2.5,7062
165,judge_dredd,3.6,47,3.7,10,2.5,10571
166,jury_duty,2.1,11,0,2,2.4,1843
