movieID	title	imdbID	year	rottenTomatoesID
1	Toy story	114709	1995	1
2	Jumanji	113497	1995	2
3	Grumpy Old Men	107050	1993	3
4	Waiting to Exhale	114885	1995	4
5	Father of the Bride Part II	113041	1995	5
6	Heat	113277	1995	6
7	Sabrina	47437	1954	7
8	Tom and Huck	112302	1995	8
9	Sudden Death	114576	1995	9
10	GoldenEye	113189	1995	10
11	The American President	112346	1995	11
12	Dracula: Dead and Loving It	112896	1995	12
13	Balto	112453	1995	13
14	Nixon	113987	1995	14
15	Cutthroat Island	112760	1995	15
16	Casino	112641	1995	16
17	Sense and Sensibility	114388	1995	17
18	Four Rooms	113101	1995	18
19	Ace Ventura: When Nature Calls	112281	1995	19
20	Money Train	113845	1995	20
21	Get Shorty	113161	1995	21
22	Copycat	112722	1995	22
23	Ninja Assassin	1186367	2009	23
24	Powder	114168	1995	24
25	Leaving Las Vegas	113627	1995	25
26	Othello	114057	1995	26
27	Now and Then	114011	1995	27
28	Persuasion	114117	1995	28
29	La cité des enfants perdus	112682	1995	29
30	Yao a yao yao dao waipo qiao	115012	1995	30
31	Dangerous Minds	112792	1995	31
32	Twelve Monkeys	114746	1995	32
33	Wings of Courage	114952	1995	33
34	Babe	112431	1995	34
35	Carrington	112637	1995	35
36	Dead Man Walking	112818	1995	36
37	Across the Sea of Time	112286	1995	37
38	It Takes Two	113442	1995	38
39	Clueless	112697	1995	39
40	Cry the Beloved Country	112749	1995	40
41	Richard III	114279	1995	41
42	Dead Presidents	112819	1995	42
43	Restoration	114272	1995	43
44	Mortal Kombat	113855	1995	44
45	Live Free or Die Hard	337978	2007	45
46	How to Make an American Quilt	113347	1995	46
47	Shichinin no samurai	47478	1954	47
48	Pocahontas	114148	1995	48
49	When Night Is Falling	114916	1995	49
50	The Usual Suspects	114814	1995	50
52	Mighty Aphrodite	113819	1995	51
53	Lamerica	110299	1994	52
54	The Big Green	112499	1995	53
55	Georgia Rule	791304	2007	54
56	Kids of the Round Table	113541	1997	55
57	Home for the Holidays	113321	1995	56
58	Il postino	110877	1994	57
59	Le confessionnal	112714	1995	58
60	The Indian in the Cupboard	113419	1995	59
61	Eye for an Eye	116260	1996	60
62	Mr. Holland's Opus	113862	1995	61
63	Don't Be a Menace to South Central While Drinking Your Juice in the Hood	116126	1996	62
64	Two If by Sea	118002	1996	63
65	Bio-Dome	115683	1996	64
66	Lawnmower Man 2: Beyond Cyberspace	116839	1996	65
67	Two Bits	114753	1995	66
68	Gazon maudit	113149	1995	67
69	Friday	113118	1995	68
70	From Dusk Till Dawn	116367	1996	69
71	Fair Game	113010	1995	70
72	Kicking & Screaming	384642	2005	71
73	Les misérables	119683	1998	72
74	Bed of Roses	115644	1996	73
75	Big Bully	115676	1996	74
76	Screamers	114367	1995	75
77	Nico Icon	113973	1995	76
78	The Crossing Guard	112744	1995	77
79	The Juror	116731	1996	78
80	Badkonake sefid	112445	1995	79
81	Things to Do in Denver When You're Dead	114660	1995	80
82	Antonia	112379	1995	81
83	Once Upon a Time... When We Were Colored	114039	1995	82
84	Last Summer in the Hamptons	113612	1995	83
85	Angels and Insects	112365	1995	84
86	White Squall	118158	1996	85
87	Dunston Checks In	116151	1996	86
88	Black Sheep	779982	2006	87
89	Nick of Time	113972	1995	88
90	The Journey of August King	113490	1995	89
92	Mary Reilly	117002	1996	90
93	Vampire in Brooklyn	114825	1995	91
94	Beautiful Girls	115639	1996	92
95	Broken Arrow	115759	1996	93
96	In the Bleak Midwinter	113403	1995	94
97	La haine	113247	1995	95
98	Going Shopping	295605	2005	96
99	Heidi Fleiss: Hollywood Madam	113283	1995	97
100	City Hall	115907	1996	98
101	Bottle Rocket	115734	1996	99
102	Mr. Wrong	117102	1996	100
103	Unforgettable	118040	1996	101
104	Happy Gilmore	116483	1996	102
105	The Bridges of Madison County	112579	1995	103
106	Keiner liebt mich	110251	1994	104
107	Muppet Treasure Island	117110	1996	105
110	Braveheart	112573	1995	106
111	Taxi Driver	75314	1976	107
112	Hung fan kui	113326	1995	108
113	Before and After	115645	1996	109
114	Margaret's Museum	113774	1995	110
115	Le bonheur est dans le pré	112556	1995	111
116	Anne Frank Remembered	112373	1995	112
117	The Young Poisoner's Handbook	115033	1995	113
118	If Lucy Fell	116606	1996	114
119	Steal Big Steal Little	114536	1995	115
120	Race the Sun	117427	1996	116
121	The Boys of St. Vincent	106473	1992	117
122	Boomerang	103859	1992	118
123	Chung Hing sam lam	109424	1994	119
124	L'uomo delle stelle	114808	1995	120
125	Flirting with Disaster	116324	1996	121
126	The Neverending Story III	110647	1994	122
128	Jupiter's Wife	110217	1995	123
129	Pie in the Sky	114131	1996	124
130	Angela's Ashes	145653	1999	125
131	Frankie Starlight	113107	1995	126
132	The Curse of the Jade Scorpion	256524	2001	127
134	Sonic Outlaws	114500	1995	128
135	Down Periscope	116130	1996	129
